Player,Nation,Position,Team,Age,Weekly,Annual
Kevin De Bruyne,BEL,"MF,FW",Manchester City,33,488501,25402046
Erling Haaland,NOR,FW,Manchester City,24,457970,23814418
Casemiro,BRA,MF,Manchester Utd,32,427438,22226790
Mohamed Salah,EGY,FW,Liverpool,32,427438,22226790
Bruno Fernandes,POR,MF,Manchester Utd,29,366376,19051534
Marcus Rashford,ENG,"FW,MF",Manchester Utd,26,366376,19051534
Bernardo Silva,POR,"MF,FW",Manchester City,29,366376,19051534
Jack Grealish,ENG,"FW,MF",Manchester City,28,366376,19051534
Omar Marmoush,EGY,"FW,MF",Manchester City,25,396024,20593224
Kai Havertz,GER,"FW,MF",Arsenal,25,341951,17781432
Gabriel Jesus,BRA,FW,Arsenal,27,323632,16828855
Mason Mount,ENG,MF,Manchester Utd,25,305313,15876279
John Stones,ENG,"DF,MF",Manchester City,30,305313,15876279
Reece James,ENG,"DF,MF",Chelsea,24,305313,15876279
Declan Rice,ENG,MF,Arsenal,25,293101,15241227
Martin Ødegaard,NOR,MF,Arsenal,25,293101,15241227
İlkay Gündoğan,GER,MF,Manchester City,33,280888,14606176
Phil Foden,ENG,"MF,FW",Manchester City,24,274782,14288651
Virgil van Dijk,NED,DF,Liverpool,33,268675,13971125
Rodri,ESP,MF,Manchester City,28,268675,13971125
Thomas Partey,GHA,"MF,DF",Arsenal,31,244250,12701023
Antony,BRA,"DF,MF",Manchester Utd,24,244250,12701023
Joško Gvardiol,CRO,DF,Manchester City,22,244250,12701023
Wesley Fofana,FRA,DF,Chelsea,23,244250,12701023
Bukayo Saka,ENG,"FW,MF",Arsenal,22,238144,12383497
Matthijs de Ligt,NED,DF,Manchester Utd,24,238144,12383497
Christopher Nkunku,FRA,FW,Chelsea,26,238144,12383497
William Saliba,FRA,DF,Arsenal,23,232038,12065972
Harry Maguire,ENG,DF,Manchester Utd,31,232038,12065972
Son Heung-min,KOR,FW,Tottenham,32,232038,12065972
Gabriel Martinelli,BRA,"FW,MF",Arsenal,23,219825,11430921
Trent Alexander-Arnold,ENG,DF,Liverpool,25,219825,11430921
Manuel Akanji,SUI,DF,Manchester City,29,219825,11430921
Rúben Dias,POR,DF,Manchester City,27,219825,11430921
Enzo Fernández,ARG,MF,Chelsea,23,219825,11430921
Kyle Walker,ENG,DF,Manchester City,34,213719,11113395
Marc Cucurella,ESP,DF,Chelsea,26,213719,11113395
James Maddison,ENG,MF,Tottenham,27,207613,10795869
Cristian Romero,ARG,DF,Tottenham,26,201507,10478344
Timo Werner,GER,"FW,MF",Tottenham,28,201507,10478344
Andrew Robertson,SCO,DF,Liverpool,30,195400,10160818
Bruno Guimarães,BRA,MF,Newcastle Utd,26,195400,10160818
Nathan Aké,NED,DF,Manchester City,29,195400,10160818
Pedro Neto,POR,FW,Chelsea,24,195400,10160818
Kalvin Phillips,ENG,MF,Ipswich Town,28,201368,10471131
Ben White,ENG,DF,Arsenal,26,183188,9525767
Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,27,183188,9525767
Christian Eriksen,DEN,MF,Manchester Utd,32,183188,9525767
Jadon Sancho,ENG,LW,Manchester Utd,24,183188,9525767
Luke Shaw,ENG,DF,Manchester Utd,29,183188,9525767
Jarrod Bowen,ENG,"FW,MF",West Ham,27,183188,9525767
Lucas Paquetá,BRA,"MF,FW",West Ham,26,183188,9525767
Alexis Mac Allister,ARG,MF,Liverpool,25,183188,9525767
Alisson,BRA,GK,Liverpool,31,183188,9525767
Federico Chiesa,ITA,FW,Liverpool,26,183188,9525767
Ryan Gravenberch,NED,MF,Liverpool,22,183188,9525767
Boubacar Kamara,FRA,MF,Aston Villa,24,183188,9525767
Emiliano Martínez,ARG,GK,Aston Villa,31,183188,9525767
Youri Tielemans,BEL,MF,Aston Villa,27,183188,9525767
Anthony Gordon,ENG,"FW,MF",Newcastle Utd,23,183188,9525767
Joelinton,BRA,"MF,FW",Newcastle Utd,27,183188,9525767
Lloyd Kelly,ENG,DF,Newcastle Utd,25,183188,9525767
Mateo Kovačić,CRO,MF,Manchester City,30,183188,9525767
Moisés Caicedo,ECU,"MF,DF",Chelsea,22,183188,9525767
Donyell Malen,NED,FW,Aston Villa,25,187943,9773056
Darwin Núñez,URU,FW,Liverpool,25,170975,8890716
Diogo Jota,POR,FW,Liverpool,27,170975,8890716
Amadou Onana,BEL,MF,Aston Villa,22,170975,8890716
Jamie Vardy,ENG,FW,Leicester City,37,170975,8890716
Noussair Mazraoui,MAR,DF,Manchester Utd,26,164869,8573190
Mikel Merino,ESP,"MF,FW",Arsenal,28,158763,8255665
Ollie Watkins,ENG,FW,Aston Villa,28,158763,8255665
Matheus Nunes,POR,"DF,MF",Manchester City,25,158763,8255665
Cole Palmer,ENG,MF,Chelsea,22,158763,8255665
João Félix,POR,"FW,MF",Chelsea,24,158763,8255665
Abdoulaye Doucouré,MLI,MF,Everton,31,158763,8255665
Bernd Leno,GER,GK,Fulham,32,158763,8255665
Danny Ings,ENG,"FW,MF",West Ham,32,152657,7938139
Jordan Pickford,ENG,GK,Everton,30,152657,7938139
Riccardo Calafiori,ITA,DF,Arsenal,22,146550,7620614
André Onana,CMR,GK,Manchester Utd,28,146550,7620614
Lisandro Martínez,ARG,DF,Manchester Utd,26,146550,7620614
Manuel Ugarte,,DM,Manchester Utd,23,146550,7620614
Victor Lindelöf,SWE,DF,Manchester Utd,30,146550,7620614
Aaron Ramsdale,ENG,GK,Southampton,26,146550,7620614
