name,nation,position,team,age,born,played,starts,minutes,goals,assists,penalty_kicks,penalty_kick_attempts,yellow,red,expected_goals,progressive_carries,progressive_passes,received_progressive_passes
Max Aarons,England,DF,Bournemouth,25.0,2000.0,3,1,86,0,0,0,0,0,0,0.0,1,8,3
Joshua Acheampong,England,DF,Chelsea,19.0,2006.0,4,2,170,0,0,0,0,1,0,0.2,0,8,0
Tyler Adams,United States,MF,Bournemouth,26.0,1999.0,27,20,1875,0,3,0,0,7,0,1.6,13,71,10
Tosin Adarabioyo,England,DF,Chelsea,27.0,1997.0,21,14,1319,1,1,0,0,3,0,0.9,5,39,1
Simon Adingra,Cote dIvoire,"FW,MF",Brighton,23.0,2002.0,28,11,1052,2,2,0,0,0,0,2.4,50,18,128
Emmanuel Agbadou,Cote dIvoire,DF,Wolves,27.0,1997.0,15,15,1320,1,0,0,0,3,0,0.8,5,30,2
Asher Agbinone,England,MF,Crystal Palace,19.0,2005.0,2,0,6,0,0,0,0,0,0,0.0,2,0,1
Ola Aina,Nigeria,DF,Nott'ham Forest,28.0,1996.0,34,34,2913,2,1,0,0,4,0,0.6,65,104,59
Rayan Aït-Nouri,Algeria,DF,Wolves,23.0,2001.0,36,36,3045,4,7,0,0,7,1,2.6,89,107,171
Kristoffer Ajer,Norway,DF,Brentford,27.0,1998.0,23,17,1433,0,0,0,0,5,0,0.8,27,55,44
Manuel Akanji,Switzerland,DF,Manchester City,29.0,1995.0,25,22,1924,0,0,0,0,3,0,1.1,43,155,6
Nathan Aké,Netherlands,DF,Manchester City,30.0,1995.0,10,8,678,0,0,0,0,0,0,0.2,12,50,2
Carlos Alcaraz,Argentina,MF,Southampton,22.0,2002.0,1,0,10,0,0,0,0,0,0,0.1,4,6,1
Carlos Alcaraz,Argentina,"FW,MF",Everton,22.0,2002.0,14,6,689,1,3,0,0,4,0,1.4,17,41,20
Trent Alexander-Arnold,England,DF,Liverpool,26.0,1998.0,32,28,2320,3,6,0,0,5,0,1.9,50,228,90
Alisson,Brazil,GK,Liverpool,32.0,1992.0,27,27,2418,0,0,0,0,0,0,0.0,0,1,0
Miguel Almirón,Paraguay,FW,Newcastle Utd,31.0,1994.0,9,1,157,0,0,0,0,0,0,0.5,3,6,18
Edson Álvarez,Mexico,MF,West Ham,27.0,1997.0,27,19,1693,0,1,0,0,9,1,0.3,22,76,18
Will Alves,England,FW,Leicester City,20.0,2005.0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
Harry Amass,England,DF,Manchester Utd,18.0,2007.0,5,4,346,0,0,0,0,0,0,0.1,9,7,23
Samuel Amo-Ameyaw,England,"FW,DF",Southampton,18.0,2006.0,2,0,28,0,0,0,0,1,0,0.0,1,0,3
Mathis Amougou,France,MF,Chelsea,19.0,2006.0,1,0,8,0,0,0,0,0,0,0.0,0,1,0
Joachim Andersen,Denmark,DF,Crystal Palace,28.0,1996.0,1,1,90,0,0,0,0,1,0,0.0,1,4,1
Joachim Andersen,Denmark,DF,Fulham,28.0,1996.0,28,28,2493,0,0,0,0,6,1,1.0,16,111,2
Elliot Anderson,England,MF,Nott'ham Forest,22.0,2002.0,36,32,2638,2,6,0,0,9,0,1.9,48,136,91
André,Brazil,MF,Wolves,23.0,2001.0,32,30,2382,0,0,0,0,7,0,0.4,8,102,11
Michail Antonio,Jamaica,FW,West Ham,35.0,1990.0,14,11,836,1,1,0,0,1,0,2.2,29,18,59
Antony,Brazil,"DF,MF",Manchester Utd,25.0,2000.0,8,0,141,0,0,0,0,0,0,1.0,5,6,7
Julian Araujo,Mexico,DF,Bournemouth,23.0,2001.0,12,7,497,0,0,0,0,2,0,0.0,4,14,22
Cameron Archer,England,FW,Southampton,23.0,2001.0,34,13,1429,2,0,0,1,0,0,5.7,21,14,66
Alphonse Areola,France,GK,West Ham,32.0,1993.0,26,25,2260,0,0,0,0,0,0,0.0,0,1,0
Joe Aribo,Nigeria,"MF,DF",Southampton,28.0,1996.0,32,21,2013,3,0,0,0,1,0,2.7,36,75,65
Adam Armstrong,England,"FW,MF",Southampton,28.0,1997.0,20,15,1248,2,2,0,1,4,0,3.3,25,21,79
Harrison Armstrong,England,MF,Everton,18.0,2007.0,3,0,48,0,0,0,0,1,0,0.4,1,1,0
Kepa Arrizabalaga,Spain,GK,Bournemouth,30.0,1994.0,30,30,2700,0,0,0,0,3,0,0.1,0,2,0
Marco Asensio,Spain,MF,Aston Villa,29.0,1996.0,12,8,699,3,1,0,2,2,0,4.4,21,43,37
Brandon Austin,England,GK,Tottenham,26.0,1999.0,1,1,90,0,0,0,0,0,0,0.0,0,0,0
Taiwo Awoniyi,Nigeria,FW,Nott'ham Forest,27.0,1997.0,26,3,416,1,0,0,0,0,0,2.1,6,7,20
Yasin Ayari,Sweden,MF,Brighton,21.0,2003.0,33,21,1921,2,1,0,0,3,0,2.4,30,74,61
Jordan Ayew,Ghana,"FW,MF",Crystal Palace,33.0,1991.0,1,0,21,0,0,0,0,1,0,0.5,0,0,1
Jordan Ayew,Ghana,"FW,MF",Leicester City,33.0,1991.0,29,18,1548,5,0,1,1,5,0,3.1,46,45,82
Benoît Badiashile,France,DF,Chelsea,24.0,2001.0,5,3,334,0,0,0,0,0,0,0.0,3,17,2
Leon Bailey,Jamaica,"FW,MF",Aston Villa,27.0,1997.0,24,14,1139,1,2,0,0,3,0,1.7,58,35,121
Carlos Baleba,Cameroon,MF,Brighton,21.0,2004.0,33,30,2571,3,1,0,0,8,1,3.0,42,115,28
Ross Barkley,England,MF,Aston Villa,31.0,1993.0,19,3,574,3,1,0,0,3,0,1.7,15,33,10
Harvey Barnes,England,FW,Newcastle Utd,27.0,1997.0,32,16,1668,9,4,0,0,0,0,7.1,90,82,186
Calvin Bassey,Nigeria,DF,Fulham,25.0,1999.0,35,34,3074,1,0,0,0,7,0,1.0,39,116,15
Altay Bayındır,Turkey,GK,Manchester Utd,27.0,1998.0,3,3,270,0,0,0,0,0,0,0.0,0,0,0
Jan Bednarek,Poland,DF,Southampton,29.0,1996.0,30,30,2531,2,0,0,0,7,0,0.7,5,60,2
Armel Bella Kotchap,Germany,DF,Southampton,23.0,2001.0,4,2,331,0,0,0,0,0,0,0.3,0,5,0
Jean-Ricner Bellegarde,France,"MF,FW",Wolves,26.0,1998.0,34,20,1673,2,7,0,0,3,0,1.5,52,43,89
Rodrigo Bentancur,Uruguay,MF,Tottenham,27.0,1997.0,25,20,1580,2,0,0,0,8,0,1.3,26,99,34
Daniel Bentley,England,GK,Wolves,31.0,1993.0,2,2,180,0,0,0,0,0,0,0.0,0,0,0
Sander Berge,Norway,MF,Fulham,27.0,1998.0,30,26,2219,0,0,0,0,6,0,0.2,29,120,9
Lucas Bergvall,Sweden,MF,Tottenham,19.0,2006.0,27,11,1212,0,1,0,0,3,0,0.7,33,49,31
Victor Bernth Kristiansen,Denmark,DF,Leicester City,22.0,2002.0,29,28,2394,0,1,0,0,1,0,0.3,39,69,75
Beto,Guinea Bissau,FW,Everton,27.0,1998.0,29,14,1447,8,0,0,0,2,0,8.0,15,16,76
Philip Billing,Denmark,MF,Bournemouth,28.0,1996.0,10,1,184,0,0,0,0,1,0,0.6,3,15,13
Yves Bissouma,Mali,MF,Tottenham,28.0,1996.0,27,16,1383,2,0,0,0,7,0,0.6,15,75,3
Oscar Bobb,Norway,FW,Manchester City,21.0,2003.0,3,0,16,0,0,0,0,0,0,0.0,1,1,1
Lamare Bogarde,Netherlands,"DF,MF",Aston Villa,21.0,2004.0,8,5,476,0,0,0,0,2,0,0.0,12,14,9
Willy Boly,Cote dIvoire,DF,Nott'ham Forest,34.0,1991.0,6,1,150,0,0,0,0,1,0,0.1,0,2,0
Sven Botman,Netherlands,DF,Newcastle Utd,25.0,2000.0,7,5,350,0,0,0,0,1,0,0.2,0,6,0
Jarrod Bowen,England,"FW,MF",West Ham,28.0,1996.0,33,33,2883,12,7,1,1,1,0,8.5,105,88,204
Conor Bradley,Northern Ireland,DF,Liverpool,21.0,2003.0,18,6,709,0,2,0,0,4,0,0.7,32,28,33
Jarrad Branthwaite,England,DF,Everton,22.0,2002.0,30,28,2511,0,1,0,0,4,0,1.2,10,66,2
James Bree,England,DF,Southampton,27.0,1997.0,17,13,1075,0,1,0,0,0,0,0.1,13,34,43
Ben Brereton,Chile,FW,Southampton,26.0,1999.0,10,4,449,0,0,0,0,1,0,0.9,12,9,42
Nathan Broadhead,Wales,"MF,FW",Ipswich Town,27.0,1998.0,17,6,625,1,0,0,0,1,0,1.6,17,12,27
Armando Broja,Albania,FW,Everton,23.0,2001.0,10,4,334,0,0,0,0,1,0,0.1,12,2,26
David Brooks,Wales,"FW,MF",Bournemouth,27.0,1997.0,28,8,898,2,0,0,0,3,0,2.2,33,34,77
Emi Buendía,Argentina,"MF,FW",Aston Villa,28.0,1996.0,12,0,98,0,0,0,0,1,0,0.7,3,7,6
Santiago Bueno,Uruguay,DF,Wolves,26.0,1998.0,28,18,1683,0,0,0,0,2,0,0.4,1,28,1
Facundo Buonanotte,Argentina,"FW,MF",Leicester City,20.0,2004.0,30,14,1504,5,2,0,0,8,0,3.9,39,54,72
Cameron Burgess,Australia,DF,Ipswich Town,29.0,1995.0,18,16,1541,0,2,0,0,0,0,1.1,2,42,4
Dan Burn,England,DF,Newcastle Utd,33.0,1992.0,36,36,3240,1,1,0,0,11,0,2.0,10,67,12
Wes Burns,Wales,"FW,DF",Ipswich Town,30.0,1994.0,18,12,926,0,1,0,0,1,0,0.5,38,8,65
Nathan Butler-Oyedeji,England,FW,Arsenal,22.0,2003.0,1,0,7,0,0,0,0,0,0,0.1,0,0,0
Moisés Caicedo,Ecuador,"MF,DF",Chelsea,23.0,2001.0,37,37,3261,1,2,0,0,10,0,0.8,43,214,36
Tom Cairney,Scotland,MF,Fulham,34.0,1991.0,24,2,555,2,0,0,0,3,1,0.5,17,51,33
Jens Cajuste,Sweden,MF,Ipswich Town,25.0,1999.0,29,24,1882,1,0,0,0,2,0,0.7,24,54,20
Riccardo Calafiori,Italy,DF,Arsenal,23.0,2002.0,19,11,983,2,1,0,0,4,0,0.9,22,54,29
Dominic Calvert-Lewin,England,FW,Everton,28.0,1997.0,25,19,1605,3,1,0,0,2,0,6.3,22,20,111
Diego Carlos,Brazil,DF,Aston Villa,32.0,1993.0,10,8,830,0,0,0,0,1,0,0.6,3,34,0
Fabio Carvalho,Portugal,"FW,MF",Brentford,22.0,2002.0,19,3,455,2,1,0,0,1,0,2.5,9,17,23
Casemiro,Brazil,MF,Manchester Utd,33.0,1992.0,23,17,1404,1,0,0,0,4,0,1.7,4,74,26
Kaelan Casey,England,DF,West Ham,20.0,2004.0,1,0,1,0,0,0,0,0,0,0.0,0,0,0
Matty Cash,Poland,DF,Aston Villa,27.0,1997.0,26,23,1980,1,1,0,0,7,0,0.4,46,41,90
Eiran Cashin,Republic of Ireland,DF,Brighton,23.0,2001.0,2,0,20,0,0,0,0,0,0,0.0,0,6,1
Timothy Castagne,Belgium,DF,Fulham,29.0,1995.0,24,17,1649,0,1,0,0,1,0,0.4,17,62,67
Trevoh Chalobah,England,DF,Crystal Palace,25.0,1999.0,12,12,1060,3,0,0,0,1,0,1.2,11,34,6
Trevoh Chalobah,England,DF,Chelsea,25.0,1999.0,13,11,910,0,1,0,0,2,0,0.8,4,37,2
Conor Chaplin,England,"MF,FW",Ipswich Town,28.0,1997.0,21,9,788,1,1,0,0,2,0,1.3,11,27,20
Youssef Chermiti,Portugal,"FW,MF",Everton,21.0,2004.0,4,0,45,0,0,0,0,1,0,0.1,0,1,6
Federico Chiesa,Italy,FW,Liverpool,27.0,1997.0,6,1,108,0,0,0,0,0,0,0.3,3,3,7
Ben Chilwell,England,DF,Crystal Palace,28.0,1996.0,8,1,259,1,0,0,0,1,0,0.2,5,8,15
Chiquinho,Portugal,MF,Wolves,25.0,2000.0,1,0,7,0,0,0,0,0,0,0.0,0,0,0
Hamza Choudhury,Bangladesh,"MF,DF",Leicester City,27.0,1997.0,4,1,131,0,0,0,0,0,0,0.0,4,3,6
Ryan Christie,Scotland,MF,Bournemouth,30.0,1995.0,29,27,2117,2,3,0,0,9,0,1.8,34,137,44
Harry Clarke,England,DF,Ipswich Town,24.0,2001.0,7,4,379,0,0,0,0,3,1,0.1,5,14,2
Jack Clarke,England,"FW,MF",Ipswich Town,24.0,2000.0,31,12,1160,0,4,0,0,2,0,1.1,36,43,56
Nathaniel Clyne,England,"DF,MF",Crystal Palace,34.0,1991.0,13,5,483,0,0,0,0,1,0,0.0,6,7,8
Conor Coady,England,DF,Leicester City,32.0,1993.0,21,18,1624,1,0,0,0,2,0,0.4,3,31,0
Séamus Coleman,Republic of Ireland,DF,Everton,36.0,1988.0,5,3,215,0,0,0,0,1,0,0.6,1,11,7
Nathan Collins,Republic of Ireland,DF,Brentford,24.0,2001.0,37,37,3330,2,3,0,0,5,0,2.5,31,126,18
Toby Collyer,England,MF,Manchester Utd,21.0,2004.0,6,0,179,0,0,0,0,0,0,0.2,0,5,2
Levi Colwill,England,DF,Chelsea,22.0,2003.0,34,34,3059,1,1,0,0,9,0,1.3,14,129,12
Lewis Cook,England,"MF,DF",Bournemouth,28.0,1997.0,36,32,2978,1,3,0,0,8,1,0.9,33,158,52
Maxwel Cornet,Cote dIvoire,FW,Southampton,28.0,1996.0,2,1,72,0,0,0,0,1,0,0.2,1,0,5
Vladimír Coufal,Czech Republic,DF,West Ham,32.0,1992.0,21,11,1048,0,0,0,0,5,0,0.3,25,38,33
Woyo Coulibaly,France,DF,Leicester City,26.0,1999.0,4,1,109,0,0,0,0,1,0,0.0,4,3,2
Aaron Cresswell,England,DF,West Ham,35.0,1989.0,17,10,823,0,0,0,0,3,0,0.2,6,36,4
Marc Cucurella,Spain,DF,Chelsea,26.0,1998.0,35,32,2898,5,1,0,0,10,1,2.8,35,114,114
Jorge Cuenca,Spain,DF,Fulham,25.0,1999.0,7,3,261,0,0,0,0,0,0,0.0,0,9,0
Matheus Cunha,Brazil,"MF,FW",Wolves,25.0,1999.0,32,28,2507,15,6,0,0,4,0,8.2,108,140,154
Patson Daka,Zambia,"FW,MF",Leicester City,26.0,1998.0,22,5,665,1,0,0,0,0,0,1.3,10,8,34
Diogo Dalot,Portugal,DF,Manchester Utd,26.0,1999.0,32,31,2788,0,3,0,0,5,0,2.0,62,102,164
Mikkel Damsgaard,Denmark,"MF,FW",Brentford,24.0,2000.0,37,33,2832,2,10,0,0,2,0,2.8,70,228,131
Danilo,Brazil,"MF,FW",Nott'ham Forest,24.0,2001.0,8,5,275,0,0,0,0,0,0,0.0,2,11,1
Jayden Danns,England,MF,Liverpool,19.0,2006.0,1,0,11,0,0,0,0,0,0,0.0,0,0,0
Kevin Danso,Austria,DF,Tottenham,26.0,1998.0,9,8,752,0,0,0,0,0,0,0.4,11,18,1
Ben Davies,Wales,DF,Tottenham,32.0,1993.0,16,14,1306,0,0,0,0,4,0,0.3,14,52,6
Leif Davis,England,DF,Ipswich Town,25.0,2000.0,32,31,2653,1,2,0,0,5,1,1.0,51,58,130
Craig Dawson,England,DF,Wolves,35.0,1990.0,15,10,971,0,0,0,0,2,0,0.5,6,20,5
Kevin De Bruyne,Belgium,"MF,FW",Manchester City,33.0,1991.0,27,19,1696,4,7,0,0,2,0,5.1,51,156,148
Bobby De Cordova-Reid,Jamaica,FW,Leicester City,32.0,1993.0,23,9,744,1,2,0,0,2,0,0.8,14,15,48
Liam Delap,England,FW,Ipswich Town,22.0,2003.0,36,32,2572,12,2,2,2,10,0,9.3,60,30,107
Sepp van den Berg,Netherlands,DF,Brentford,23.0,2001.0,30,28,2496,0,0,0,0,3,0,1.9,11,78,28
Justin Devenny,Northern Ireland,MF,Crystal Palace,21.0,2003.0,22,4,478,1,1,0,0,1,0,0.7,5,19,13
Kiernan Dewsbury-Hall,England,"MF,FW",Chelsea,26.0,1998.0,12,2,259,0,1,0,0,0,0,0.2,5,14,11
Amad Diallo,Cote dIvoire,"MF,FW",Manchester Utd,22.0,2002.0,25,19,1811,7,6,0,0,4,0,4.2,105,57,184
Rúben Dias,Portugal,DF,Manchester City,28.0,1997.0,26,24,2181,0,0,0,0,4,0,1.5,41,147,8
Luis Díaz,Colombia,FW,Liverpool,28.0,1997.0,35,27,2331,13,5,0,0,2,0,11.3,108,108,284
Tyler Dibling,England,"FW,MF",Southampton,19.0,2006.0,33,20,1874,2,0,0,0,6,0,2.5,69,64,96
Lucas Digne,France,DF,Aston Villa,31.0,1993.0,32,28,2351,0,4,0,0,4,0,0.8,23,57,142
Issa Diop,France,DF,Fulham,28.0,1997.0,21,15,1339,0,0,0,0,2,0,0.5,6,25,3
Axel Disasi,France,DF,Aston Villa,27.0,1998.0,7,5,490,0,0,0,0,2,0,0.1,10,16,5
Axel Disasi,France,DF,Chelsea,27.0,1998.0,6,4,364,1,0,0,0,1,0,0.3,6,16,2
Roman Dixon,England,DF,Everton,20.0,2004.0,1,1,90,0,0,0,0,0,0,0.0,0,0,1
Nasser Djiga,Burkina Faso,DF,Wolves,22.0,2002.0,5,1,66,0,0,0,0,0,0,0.0,0,3,2
Matt Doherty,Republic of Ireland,DF,Wolves,33.0,1992.0,29,24,2023,2,1,0,0,6,0,1.0,29,77,40
Jeremy Doku,Belgium,"FW,MF",Manchester City,22.0,2002.0,28,15,1443,3,6,0,0,1,0,1.0,202,67,274
Nicolás Domínguez,Argentina,"MF,FW",Nott'ham Forest,26.0,1998.0,33,22,1896,0,1,0,0,9,0,1.5,14,78,32
Patrick Dorgu,Denmark,DF,Manchester Utd,20.0,2004.0,11,9,752,0,0,0,0,3,1,0.4,34,27,63
Alfie Dorrington,England,DF,Tottenham,20.0,2005.0,1,0,14,0,0,0,0,0,0,0.0,0,0,0
Abdoulaye Doucouré,Mali,MF,Everton,32.0,1993.0,32,31,2549,3,2,0,0,5,1,4.1,42,82,96
Cheick Doucouré,Mali,MF,Crystal Palace,25.0,2000.0,13,4,452,0,0,0,0,1,0,0.4,2,19,7
Flynn Downes,England,MF,Southampton,26.0,1999.0,26,24,2061,1,0,0,0,12,0,0.6,26,64,29
Tommy Doyle,England,MF,Wolves,23.0,2001.0,24,3,488,0,1,0,0,1,0,0.6,6,40,4
Radu Drăgușin,Romania,DF,Tottenham,23.0,2002.0,16,14,1252,0,0,0,0,1,0,0.1,7,37,2
Martin Dúbravka,Slovakia,GK,Newcastle Utd,36.0,1989.0,10,10,900,0,0,0,0,0,0,0.0,0,0,0
Lewis Dunk,England,DF,Brighton,33.0,1991.0,25,23,2083,0,0,0,0,5,0,0.8,20,142,3
Jáder Durán,Colombia,FW,Aston Villa,21.0,2003.0,20,4,638,7,0,0,0,3,1,4.9,7,13,44
Ederson,Brazil,GK,Manchester City,31.0,1993.0,25,25,2230,0,4,0,0,4,0,0.0,0,2,0
George Edmundson,England,DF,Ipswich Town,27.0,1997.0,1,0,2,0,0,0,0,0,0,0.0,0,0,0
Odsonne Édouard,France,"MF,FW",Crystal Palace,27.0,1998.0,2,1,115,0,0,0,0,0,0,0.4,2,4,7
Odsonne Édouard,France,FW,Leicester City,27.0,1998.0,4,0,29,0,0,0,0,0,0,0.0,0,1,2
Samuel Edozie,England,"DF,FW",Southampton,22.0,2003.0,2,0,65,0,0,0,0,1,0,0.0,6,4,23
Ronnie Edwards,England,DF,Southampton,22.0,2003.0,1,0,12,0,0,0,0,0,0,0.0,0,0,0
Anthony Elanga,Sweden,"FW,MF",Nott'ham Forest,23.0,2002.0,37,30,2411,6,11,0,0,1,0,4.4,97,58,211
Harvey Elliott,England,"MF,FW",Liverpool,22.0,2003.0,17,2,365,1,2,0,0,1,0,1.8,10,44,30
Yunus Emre Konak,Turkey,"FW,MF",Brentford,19.0,2006.0,10,0,42,0,0,0,0,0,0,0.2,1,2,2
Julio Enciso,Paraguay,"MF,FW",Ipswich Town,21.0,2004.0,13,12,869,2,3,0,0,3,0,1.7,23,28,44
Julio Enciso,Paraguay,"MF,FW",Brighton,21.0,2004.0,12,2,294,0,0,0,0,0,0,1.0,11,14,17
Wataru Endo,Japan,"MF,DF",Liverpool,32.0,1993.0,19,1,251,0,0,0,0,0,0,0.0,1,15,7
Christian Eriksen,Denmark,MF,Manchester Utd,33.0,1992.0,22,11,1036,0,2,0,0,4,0,0.4,12,55,29
Romain Esse,England,MF,Crystal Palace,20.0,2005.0,6,1,127,1,1,0,0,0,0,0.3,1,7,11
