team,possession,touches,deffensive_touches,middle_touches,attacking_touches,attempted_take_ons,successful_take_ons,carries,total_distance_carried
Arsenal,56.8,23363,5960,10107,7471,706,310,13816,73408
Aston Villa,51.0,21291,7113,9119,5275,706,317,12118,67517
Bournemouth,48.1,20971,6300,9029,5902,651,284,11283,66571
Brentford,47.8,20864,8064,7830,5166,609,262,11008,60063
Brighton,52.0,22986,7355,9983,5913,777,328,13554,74918
Chelsea,57.3,24671,7379,11139,6367,769,322,14242,76825
Crystal Palace,43.1,19925,7445,8276,4393,479,200,10028,50667
Everton,41.1,18989,6745,7761,4689,622,274,9338,49840
Fulham,52.4,23328,7797,9590,6184,623,281,13741,72323
Ipswich Town,40.5,18531,7601,7286,3850,626,270,9052,51629
Leicester City,45.6,21309,7855,9685,3976,627,259,12065,60544
Liverpool,57.4,25092,7133,11187,6995,661,295,14444,73791
Manchester City,61.6,27459,6350,11762,9571,780,370,17678,101274
Manchester Utd,53.2,23978,8418,10137,5646,614,252,14601,72739
Newcastle Utd,50.9,22350,7319,9347,5905,644,277,12632,68484
Nott'ham Forest,40.9,18416,6288,7448,4910,570,257,8513,48176
Southampton,48.8,22284,8220,9579,4682,715,298,12454,65799
Tottenham,55.2,23886,7914,10033,6174,798,303,14833,81603
West Ham,48.2,22119,8082,9479,4769,776,334,11298,57335
Wolves,48.1,21741,7610,9835,4559,704,310,12101,65076
