team,players,age,possession,goals,assists,penalty_kicks,penalty_kick_attempts,yellows,reds,expected_goals,expected_assists,progressive_carries,progressive_passes
Arsenal,25,26.6,56.8,65,53,2,2,70,6,57.6,43.2,830,1764
Aston Villa,28,27.8,51.0,56,45,3,6,74,3,55.7,41.5,709,1326
Bournemouth,29,25.9,48.1,55,39,6,7,97,3,62.4,42.6,732,1438
Brentford,28,26.6,47.8,64,43,5,6,61,1,57.6,41.3,579,1318
Brighton,32,25.7,52.0,60,40,6,6,77,3,56.5,39.7,798,1478
Chelsea,29,24.5,57.3,60,46,4,5,99,2,66.7,51.6,848,1573
Crystal Palace,29,27.0,43.1,48,37,3,4,80,4,58.7,44.7,491,1140
Everton,26,28.8,41.1,38,26,2,2,78,2,40.6,31.5,474,1027
Fulham,26,28.8,52.4,53,44,3,4,80,2,47.8,36.9,773,1524
Ipswich Town,32,26.6,40.5,34,25,2,2,91,5,33.6,23.7,488,896
Leicester City,31,27.4,45.6,33,25,2,3,85,0,32.4,25.0,569,1068
Liverpool,24,28.0,57.4,84,64,9,9,65,2,80.0,59.6,801,1846
Manchester City,29,27.6,61.6,69,51,2,3,59,2,65.2,52.5,1112,1890
Manchester Utd,31,26.3,53.2,40,28,3,3,84,3,49.7,37.9,669,1379
Newcastle Utd,24,28.2,50.9,66,50,5,6,67,1,62.6,45.2,727,1541
Nott'ham Forest,23,27.0,40.9,57,42,3,3,88,2,44.3,32.1,610,1079
Southampton,36,26.1,48.8,24,15,0,2,89,3,32.0,24.5,628,1114
Tottenham,31,25.8,55.2,60,47,2,3,69,1,56.8,43.1,827,1582
West Ham,27,29.0,48.2,40,26,3,3,81,3,45.9,33.0,617,1192
Wolves,31,27.7,48.1,52,41,0,0,77,2,42.6,34.6,587,1148
